date,Negative,Nuetral,Positive,sentiment_of_the_day
2021-02-05,52,306,199,Nuetral
2021-02-06,84,640,424,Nuetral
2021-02-07,67,471,540,Positive
2021-02-08,165,1132,728,Nuetral
2021-02-09,116,786,567,Nuetral
2021-02-10,108,638,398,Nuetral
2021-02-13,63,374,236,Nuetral
2021-02-14,102,658,553,Nuetral
2021-02-15,119,650,665,Positive
2021-02-18,73,421,261,Nuetral
2021-02-19,146,909,573,Nuetral
2021-02-22,135,729,435,Nuetral
2021-02-28,64,292,185,Nuetral
2021-03-11,3,38,21,Nuetral
2021-03-12,112,586,424,Nuetral
2021-04-05,63,367,189,Nuetral
2021-04-06,315,505,395,Nuetral
2021-04-07,281,650,397,Nuetral
2021-04-08,145,590,396,Nuetral
2021-04-09,93,560,343,Nuetral
2021-04-10,128,664,397,Nuetral
2021-04-11,55,320,193,Nuetral
2021-04-12,47,295,263,Nuetral
2021-04-17,4,49,57,Positive
2021-04-18,180,661,555,Nuetral
2021-04-19,107,518,462,Nuetral
2021-04-20,123,504,504,Nuetral
2021-04-21,102,499,395,Nuetral
2021-04-22,151,664,515,Nuetral
2021-04-23,183,739,667,Nuetral
2021-04-24,111,433,432,Nuetral
2021-05-25,83,396,314,Nuetral
2021-05-26,132,636,526,Nuetral
2021-05-27,138,540,483,Nuetral
2021-05-28,158,591,530,Nuetral
2021-05-29,117,483,408,Nuetral
2021-06-20,306,948,1175,Positive
2021-06-21,1740,4993,5568,Positive
2021-06-22,2119,6169,6223,Positive
2021-06-23,1242,3664,4111,Positive
2021-07-02,659,1986,2498,Positive
2021-07-03,810,2622,3630,Positive
2021-07-04,655,2362,3168,Positive
2021-07-05,827,2809,3691,Positive
2021-07-16,90,191,347,Positive
2021-07-17,598,1736,2424,Positive
2021-07-18,1068,2390,3959,Positive
2021-07-19,1069,3398,4438,Positive
2021-07-20,1288,4235,4808,Positive
2021-07-21,1506,5153,5733,Positive
2021-07-22,1139,3718,4808,Positive
2021-07-23,1836,5830,7618,Positive
2021-07-24,1002,3694,4597,Positive
2021-07-25,302,1354,1445,Positive
2021-07-26,819,3456,2604,Nuetral
2021-07-27,468,1566,1707,Positive
2021-07-28,515,1852,1743,Nuetral
2021-07-29,388,2359,1800,Nuetral
2021-07-30,1497,4663,5167,Positive
2021-08-04,54,226,209,Nuetral
2021-08-05,383,1677,1352,Nuetral
2021-08-06,438,1806,1556,Nuetral
2021-08-07,382,1547,1431,Nuetral
2021-08-08,1151,3702,4065,Positive
2021-08-09,1502,5943,6046,Positive
2021-08-14,419,1338,1733,Positive
2021-08-15,853,3149,3957,Positive
2021-08-16,1061,3392,4318,Positive
2021-08-17,1078,3522,4705,Positive
2021-08-18,1329,3859,5098,Positive
2021-08-19,1047,3866,4353,Positive
2021-08-20,1189,4588,4960,Positive
2021-08-21,273,1160,1487,Positive
2021-08-23,330,1228,1416,Positive
2021-08-24,735,3020,3897,Positive
2021-08-25,1097,4986,5396,Positive
2021-08-26,1050,3821,4990,Positive
2021-09-10,718,2551,3390,Positive
2021-10-18,771,2784,3073,Positive
2021-10-19,1985,7684,8698,Positive
2021-10-20,845,3652,4563,Positive
2021-10-21,1156,4489,6470,Positive
2021-10-22,1429,5680,7166,Positive
2021-10-23,945,4097,4972,Positive
2021-10-27,666,2539,2861,Positive
2021-10-28,1104,4569,5017,Positive
2021-10-29,963,4017,4722,Positive
2021-11-04,799,2874,3494,Positive
2021-11-05,1032,4076,4474,Positive
2021-11-06,1387,4827,5634,Positive
2021-11-11,637,2537,2526,Nuetral
2021-11-12,1215,4942,4925,Nuetral
2021-11-18,1312,4660,4265,Nuetral
2021-11-19,2048,6691,6804,Positive
2021-11-24,192,932,849,Nuetral
2021-11-25,1011,3840,5766,Positive
2021-11-26,2559,6092,7623,Positive
2021-12-11,215,616,705,Positive
2021-12-17,623,1877,3415,Positive
2021-12-29,115,333,362,Positive
2021-12-30,926,2463,3295,Positive
